Student ID,School Year,FTE,Home RCDTS,Serving RCDTS
4243613,2018,1,010011720222017,010011720222017
3872055,2018,1,010691170222006,010691170222006
2423803,2018,1,030250400260001,030250400260001
3647896,2018,1,030680120262003,030680120262003
3123321,2018,1,030680120262006,030680120262006
3597539,2018,1,030680120262006,030680120262006
2854097,2018,1,041012050250003,040000000009201
3566770,2018,1,040042000262005,040042000262005
2651595,2018,1,041011220220002,041011220220002
2687661,2018,1,041011220221005,041011220221005
3579257,2018,1,041011220221005,041011220221005
3579257,2018,1,041011220221005,041011220221005
3900766,2018,1,041011220222006,041011220222006
3900766,2018,1,041011220222006,041011220222006
4296337,2018,1,041011220222006,041011220222006
4296337,2018,1,041011220222006,041011220222006
3923628,2018,1,041011220222007,041011220222007
3923628,2018,1,041011220222007,041011220222007
4144419,2018,1,041011220222011,041011220222011
4144618,2018,1,041011220222011,041011220222011
3906609,2018,1,041011220222013,041011220222013
3906609,2018,1,041011220222013,041011220222013
3675008,2018,1,041011310041002,041011310041002
2386749,2018,1,041012050250001,041012050250001
2430509,2018,1,041012050250001,041012050250001
2640489,2018,1,041012050250001,041012050250001
2640767,2018,1,041012050250001,041012050250001
2649454,2018,1,041012050250001,041012050250001
2649697,2018,1,041012050250001,041012050250001
2650979,2018,1,041012050250001,041012050250001
2680951,2018,1,041012050250001,041012050250001
2681499,2018,1,041012050250001,041012050250001
2751588,2018,1,041012050250001,041012050250001
1529006,2018,1,041012050250002,041012050250002
1533439,2018,1,041012050250002,041012050250002
2435455,2018,1,041012050250002,041012050250002
2676168,2018,1,041012050250002,041012050250002
3113589,2018,1,041012050250002,041012050250002
3479862,2018,1,041012050250002,041012050250002
1434632,2018,1,041012050250003,041012050250003
2100612,2018,1,041012050250003,041012050250003
2398968,2018,1,041012050250003,041012050250003
2441590,2018,1,041012050250003,041012050250003
2467814,2018,1,041012050250003,041012050250003
2623509,2018,1,041012050250003,041012050250003
2666116,2018,1,041012050250003,041012050250003
1528733,2018,1,041012050250004,041012050250004
2408054,2018,1,041012050250004,041012050250004
2423544,2018,1,041012050250004,041012050250004
2640718,2018,1,041012050250004,041012050250004
2648659,2018,1,041012050250004,041012050250004
2855788,2018,1,041012050250004,041012050250004
2855788,2018,1,041012050250004,041012050250004
3041494,2018,1,041012050250004,041012050250004
2769172,2018,1,041012050251001,041012050251001
2846589,2018,1,041012050251001,041012050251001
2863436,2018,1,041012050251001,041012050251001
3005793,2018,1,041012050251001,041012050251001
3460416,2018,1,041012050251001,041012050251001
3048887,2018,1,041012050251008,041012050251008
2648354,2018,1,041012050251009,041012050251009
2674481,2018,1,041012050251010,041012050251010
2674481,2018,1,041012050251010,041012050251010
2674507,2018,1,041012050251010,041012050251010
2674507,2018,1,041012050251010,041012050251010
2684600,2018,1,041012050251010,041012050251010
3142805,2018,1,041012050251010,041012050251010
4479055,2018,1,041012050252017,041012050252017
