SCHOOL_ID,SCHOOL_SHORT_NAME,RCDTS_CODE
609679,PROSSER HS,150162990250534
609682,RICHARDS HS,150162990250536
609692,SIMEON HS,150162990250537
609761,CORLISS HS,150162990250543
609759,CLEMENTE HS,150162990250545
609722,MANLEY HS,150162990250616
609756,CURIE HS,150162990250617
609762,JULIAN HS,150162990250763
609755,YOUNG HS,150162990250764
609707,ROBESON HS,150162990250766
609764,JUAREZ HS,150162990250767
609753,CHICAGO AGRICULTURE HS,150162990250772
609694,HANCOCK HS,150162990250779
609726,BROOKS HS,150162990250788
609749,NORTHSIDE PREP HS,150162990250794
609754,CHICAGO MILITARY HS,150162990250795
609680,PAYTON HS,150162990250796
609768,HOPE HS,150162990250799
610304,PHOENIX MILITARY HS,150162990250803
610357,SPRY HS,150162990250818
610340,CHICAGO ACADEMY HS,150162990250820
610323,BOWEN HS,150162990250824
609691,NORTH-GRAND HS,150162990250825
610334,RABY HS,150162990250826
610244,CLARK HS,150162990250827
610390,RICKOVER MILITARY HS,150162990250828
610394,UPLIFT HS,150162990250829
610392,WORLD LANGUAGE HS,150162990250830
610245,DOUGLASS HS,150162990250831
610402,DEVRY HS,150162990250832
610391,LINDBLOM HS,150162990250833
610381,BRONZEVILLE HS,150162990250834
610383,SOCIAL JUSTICE HS,150162990250835
610385,MULTICULTURAL HS,150162990250836
610384,INFINITY HS,150162990250837
610499,COLLINS HS,150162990250841
610506,TEAM HS,150162990250843
610518,AUSTIN CCA HS,150162990250844
610389,ORR HS,150162990250847
610513,AIR FORCE HS,150162990250848
610524,ALCOTT HS,150162990250849
610529,OGDEN HS,150162990250855
610380,WILLIAMS HS,150162990250856
609693,WESTINGHOUSE HS,150162990250857
610543,SOLORIO HS,150162990250859
610547,SOUTH SHORE INTL HS,150162990250860
610558,GOODE HS,150162990250861
400147,CAMELOT - EXCEL HS,150162990250862
610587,DYETT ARTS HS,150162990250863
610369,JACKSON M,150162990252046
610032,GREEN,150162990252048
609772,ADDAMS,150162990252051
609773,AGASSIZ,150162990252052
609774,ALCOTT ES,150162990252053
609848,ALDRIDGE,150162990252054
609777,ARMOUR,150162990252058
609779,ARMSTRONG G,150162990252059
609782,AUDUBON,150162990252062
609786,AVALON PARK,150162990252063
609788,BARNARD,150162990252066
609789,BARRY,150162990252067
609790,BARTON,150162990252068
609791,BASS,150162990252069
609792,BATEMAN,150162990252070
609793,NICHOLSON,150162990252072
609796,BEAUBIEN,150162990252078
610237,BEETHOVEN,150162990252079
609797,BEIDLER,150162990252080
609798,BELDING,150162990252081
609799,BELL,150162990252082
609800,BENNETT,150162990252083
