Student ID,School Year,FTE,Home RCDTS,Serving RCDTS
2634394,2011,1,041012050252047,041012050252047
3156294,2011,1,041012050252047,041012050252047
3261052,2011,1,041012050252047,041012050252047
2723805,2011,1,041012050252051,041012050252051
2927574,2011,1,041012050252051,041012050252051
2674017,2011,1,041012050252051,041012050252051
2379156,2011,1,041012050252054,041012050252054
2862960,2011,1,041012050252054,041012050252054
2735926,2011,1,041012050252057,041012050252057
2393368,2011,1,041012050252057,041012050252057
2632934,2011,1,041012050252057,041012050252057
3249906,2011,1,041012050252057,041012050252057
1530655,2011,1,041012050252057,041012050252057
2650955,2011,1,041012050252057,041012050252057
2647401,2011,1,041012050252057,041012050252057
2396781,2011,1,041012050252057,041012050252057
2410029,2011,1,041012050252059,041012050252059
3180314,2011,1,041012050252062,041012050252062
3180314,2011,1,041012050252062,041012050252062
3251148,2011,1,041012050252064,041012050252064
2728014,2011,1,041012050252066,041012050252066
2660828,2011,1,041012050252078,041012050252078
2998380,2011,1,041012050252080,041012050252080
1677583,2011,1,041012050252080,041012050252080
2684432,2011,1,041012050252084,041012050252084
2989442,2011,1,041012050252084,041012050252084
2698782,2011,1,041012050252084,041012050252084
2415372,2011,1,041012050252084,041012050252084
2442142,2011,1,041012050252084,041012050252084
2685733,2011,1,041012050252084,041012050252084
2926077,2011,1,041012050252084,041012050252084
2746038,2011,1,041012050252086,041012050251001
2626764,2011,1,041012050252086,041012050252086
2749885,2011,1,041012050252086,041012050252086
3053178,2011,1,041012050252086,041012050252086
2327803,2011,1,041012050252086,041012050252086
1535230,2011,1,041012050252086,041012050252086
3246303,2011,1,041012050252086,041012050252086
1523498,2011,1,041012050252086,041012050252086
2310165,2011,1,041012050252086,041012050252086
2295035,2011,1,041012050252086,041012050252086
2624575,2011,1,041012050252086,041012050252086
3250169,2011,1,041012050252086,041012050252086
2853103,2011,1,041013220262001,041013220262001
2853103,2011,1,041013220262001,041013220262001
2315928,2011,1,050160150041011,050160150041011
2325805,2011,1,050160150041014,050160150041014
3261583,2011,1,050160150041014,050160150041014
2631562,2011,1,050160150041016,050160150041016
2352467,2011,1,050160150041016,050160150041016
2300500,2011,1,050160150041016,050160150041016
760938,2011,1,050160150041016,050160150043001
2328966,2011,1,050160150041018,050160150041018
1930093,2011,1,050160150041018,050160150041018
2347221,2011,1,050160150041018,050160150041018
2302880,2011,1,050160150041018,050160150041018
2439049,2011,1,050160150042001,050160150042001
3136797,2011,1,050160150042001,050160150042001
2396008,2011,1,050160150042005,050160150042005
3284756,2011,1,050160150042007,050160150042007
3048272,2011,0.5,050160150042007,050160150042007
2635366,2011,1,050160150042007,050160150042007
2935693,2011,0.5,050160150042008,050160150042008
2677931,2011,1,050160150042008,050160150042008
3143135,2011,1,050160150042008,050160150042008
2439910,2011,1,050160150042008,050160150042008
2065536,2011,1,050160150042008,050160150042008
2856625,2011,1,050160150042008,050160150042008
2372126,2011,1,050160150042009,050160150042009
3135831,2011,0.5,050160150042013,050160150042013
2505818,2011,1,050160150042013,050160150042013
2389225,2011,1,050160150042015,050160150042015
2740700,2011,0.5,050160150042015,050160150042015
2740701,2011,0.5,050160150042015,050160150042015
2403233,2011,1,050160150042015,050160150042015
2428051,2011,1,050160150042015,050160150042015
4394286,2011,1,050160150042015,050160150042015
2861511,2011,1,050160150042015,050160150042015
2403605,2011,1,050160150042015,050160150042015
1898258,2011,1,050160150042015,050160150042019
2389749,2011,1,050160150042018,050160150042018
2657760,2011,1,050160150042018,050160150042018
2006997,2011,1,050160150042018,050160150042018
1898258,2011,1,050160150042019,050160150042019
2836537,2011,1,050160210041002,050160210041002
2304263,2011,1,050160210041006,050160210041006
2384645,2011,1,050160210041006,050160210041006
2391102,2011,1,050160210041006,050160210041006
2622663,2011,1,050160210041007,050160210041007
2088729,2011,1,050160210042004,050160210042004
2850369,2011,1,050160210042004,050160210042011
1853952,2011,1,050160210042007,050160210042007
3139040,2011,1,050160210042009,050160210042009
2743993,2011,1,050160210042009,050160210042009
2865448,2011,1,050160210042010,050160210042010
2454902,2011,1,050160210042010,050160210042010
2858126,2011,1,050160210042014,050160210042013
3132017,2011,0.5,050160210042014,050160210042014
3143928,2011,1,050160210042014,050160210042014
2449925,2011,1,050160210042014,050160210042014
2842749,2011,0.5,050160210042014,050160210042014
3123245,2011,1,050160210042015,050160210042015
2355522,2011,1,050160230021002,050160230021002
2365621,2011,1,050160230021002,050160230021002
2364821,2011,1,050160230021002,050160230021002
2428091,2011,1,050160230022001,050160230022005
2375660,2011,1,050160230022001,050160230022005
2658605,2011,1,050160230022004,050160230022004
2428091,2011,1,050160230022004,050160230022005
2428091,2011,1,050160230022005,050160230022005
2375660,2011,1,050160230022005,050160230022005
3144927,2011,1,050160250022002,050160250022002
2431811,2011,1,050160250022002,050160250022002
2642812,2011,1,050160250022004,050160250022004
3142398,2011,1,050160250022016,050160250022016
2620098,2011,1,050160260021006,050160146000224
2620098,2011,1,050160260021006,050160146000537
3092527,2011,1,050160260022001,050160260022001
2399220,2011,1,050160260022001,050160260022001
2399233,2011,1,050160260022001,050160260022001
2404871,2011,1,050160270021005,050160270021005
3134050,2011,1,050160270022002,050160270022002
2669603,2011,1,050160280022002,050160280022002
2659923,2011,1,050160280022002,050160280022006
3024064,2011,1,050160280022003,050160280022003
3024072,2011,0.5,050160280022003,050160280022003
2415466,2011,1,050160280022006,050160280022006
2415466,2011,1,050160280022006,050160280022006
3145720,2011,1,050160290022001,050160290022001
2454035,2011,1,050160290022001,050160290022001
2454035,2011,1,050160290022001,050160290022001
2454035,2011,1,050160290022001,050160290022001
3115262,2011,1,050160290022002,050160290022002
2271255,2011,1,050160290022002,050160290022002
3115264,2011,1,050160290022002,050160290022002
3115263,2011,1,050160290022002,050160290022002
1422344,2011,1,050160300021001,050160300021001
2665112,2011,1,050160300022003,050160300022003
2856791,2011,1,050160300022003,050160300022003
2304088,2011,1,050160310021001,050160310021001
1301748,2011,1,050160310021001,050160310021001
3246139,2011,1,050160310022002,050160310022002
2451298,2011,1,050160310022002,050160310022002
2524426,2011,1,050160310022002,050160310022002
2743898,2011,1,050160310022002,050160310022002
2446128,2011,1,050160340042001,050160340042001
2423808,2011,1,050160340042001,050160340042001
2436219,2011,1,050160340042001,050160340042001
3137937,2011,1,050160340042002,050160340042002
2856422,2011,1,050160340042002,050160340042002
2448097,2011,1,050160340042002,050160340042002
2660598,2011,1,050160340042002,050160340042002
2753114,2011,1,050160340042002,050160340042002
2753114,2011,1,050160340042002,050160340042002
2499418,2011,1,050160340042003,050160340042003
2499418,2011,1,050160340042003,050160340042003
2430653,2011,1,050160340042003,050160340042003
2438284,2011,1,050160340042003,050160340042003
2433375,2011,1,050160340042003,050160340042003
2398847,2011,1,050160340042003,050160340042003
2443729,2011,1,050160340042004,050160340042004
2849740,2011,1,050160340042004,050160340042004
2437612,2011,1,050160340042005,050160340042005
2407183,2011,1,050160340042005,050160340042005
2417710,2011,1,050160340042005,050160340042005
2849548,2011,1,050160340042008,050160340042008
892841,2011,1,050160370021001,050160370021001
1968819,2011,1,050160370022003,050160370022003
2856746,2011,1,050160370022003,050160370022003
2417913,2011,1,050160390022005,050160390022005
3053125,2011,1,050160390022006,050160390022006
2419828,2011,1,050160390022006,050160390022006
2681332,2011,1,050160390022006,050160390022006
3053124,2011,1,050160390022006,050160390022006
3179410,2011,1,050160390022006,050160390022006
3179410,2011,1,050160390022006,050160390022006
2377172,2011,1,050160540041001,050160540041001
3263694,2011,1,050160540041001,050160540041001
2377176,2011,1,050160540041001,050160540041001
2368215,2011,1,050160540041001,050160540041001
2276440,2011,1,050160540041001,050160540041001
615475,2011,1,050160540041001,050160540041001
2336741,2011,1,050160540041012,050160540041012
2676966,2011,1,050160540041012,050160540041012
760938,2011,1,050160540041018,040000000009301
760938,2011,1,050160540041018,050160197000087
2751988,2011,1,050160540041018,050160540041018
2337201,2011,1,050160540041018,050160540041018
2525839,2011,1,050160540041018,050160540041018
760938,2011,1,050160540041018,340490252000018
2326046,2011,1,050160540041019,050160540041019
2303957,2011,1,050160540041020,050160540041020
2303953,2011,1,050160540041020,050160540041020
2637384,2011,1,050160540042002,050160540042002
2865140,2011,1,050160540042002,050160540042002
2385315,2011,1,050160540042002,050160540042002
2865140,2011,1,050160540042002,050160540042011
2655327,2011,1,050160540042003,050160540042003
2450709,2011,1,050160540042005,050160540042005
2657486,2011,1,050160540042006,050160540042006
2431228,2011,1,050160540042007,050160540042007
3103494,2011,1,050160540042008,050160540042008
2452093,2011,1,050160540042009,050160540042009
2452095,2011,1,050160540042009,050160540042009
2865140,2011,1,050160540042011,050160540042011
2853341,2011,1,050160540042011,050160540042011
2391044,2011,1,050160540042013,050160540042013
2366100,2011,1,050160540042013,050160540042013
2633900,2011,1,050160540042018,050160540042018
3145250,2011,1,050160540042018,050160540042018
3142357,2011,1,050160540042018,050160540042018
763130,2011,1,050160540042018,050160540042018
2842792,2011,0.5,050160540042018,050160540042018
2672124,2011,1,050160540042019,050160540042019
3001702,2011,1,050160540042019,050160540042019
3123953,2011,1,050160540042022,050160540042022
2835865,2011,1,050160540042022,050160540042022
2636415,2011,1,050160540042022,050160540042022
3146210,2011,1,050160540042022,050160540042022
2525865,2011,1,050160540042022,050160540042022
2751985,2011,1,050160540042022,050160540042022
3179974,2011,0.5,050160540042023,050160540042023
2686362,2011,1,050160540042026,050160540042026
3126704,2011,1,050160540042027,050160540042007
2658990,2011,1,050160540042027,050160540042027
2635366,2011,1,050160540042028,050160540042028
2843813,2011,0.5,050160540042028,050160540042028
3133969,2011,0.5,050160540042028,050160540042028
2445886,2011,1,050160540042028,050160540042028
2665247,2011,1,050160540042028,050160540042028
2396008,2011,1,050160540042028,050160540042029
2716923,2011,1,050160540042030,050160540042030
2419050,2011,1,050160540042030,050160540042030
2382402,2011,1,050160540042030,050160540042030
3129387,2011,0.5,050160540042031,050160540042031
2362817,2011,1,050160570022005,050160570022005
2658820,2011,1,050160570022005,050160570022005
2320698,2011,1,050160590041010,050160590041010
2247836,2011,1,050160590041010,050160590041010
3023699,2011,1,050160590041012,050160590041012
3023699,2011,1,050160590041012,050160590041012
2326046,2011,1,050160590041012,050160590041012
2378147,2011,1,050160590041012,050160590041012
3023699,2011,1,050160590041012,050168050606012
2666140,2011,1,050160590041016,050000000009301
2666140,2011,1,050160590041016,050160590041016
2321517,2011,1,050160590041016,050160590041016
3034144,2011,1,050160590041016,050160590041016
555786,2011,1,050160590041016,050160590041016
2345010,2011,1,050160590041016,050160590041016
574726,2011,1,050160590041016,050160590041016
2860222,2011,1,050160590042001,050160590042001
3025112,2011,1,050160590042001,050160590042001
2860686,2011,1,050160590042001,050160590042001
2864901,2011,1,050160590042001,050160590042001
2867315,2011,1,050160590042001,050160590042001
1020700,2011,1,050160590042002,050160590042002
2855029,2011,1,050160590042002,050160590042002
628653,2011,1,050160590042003,050160590042003
2420533,2011,1,050160590042006,050160590042006
3141665,2011,1,050160590042008,050160590042008
3141665,2011,1,050160590042008,050160590042008
2443919,2011,1,050160590042014,050160590042014
2664857,2011,1,050160590042014,050160590042014
2557490,2011,1,050160590042016,050160590042016
2453811,2011,1,050160590042016,050160590042016
2389766,2011,1,050160590042018,050160590042018
2389766,2011,1,050160590042018,050160590042018
2403207,2011,1,050160590042018,050160590042018
2394481,2011,1,050160590042019,050160590042019
2835859,2011,1,050160620041001,050160620041001
2341786,2011,1,050160620041001,050160620041001
3255738,2011,1,050160620041001,050160620041003
2352761,2011,1,050160620041003,050160620041003
3255738,2011,1,050160620041003,050160620041003
3243144,2011,1,050160620041003,050160620041003
440209,2011,1,050160620041003,050160620041003
3423199,2011,1,050160620042001,050160620042001
4166280,2011,1,050160620042002,050160620042002
2413265,2011,1,050160620042002,050160620042002
2855168,2011,1,050160620042004,050160620042004
2413265,2011,1,050160620042008,050160620042002
2859496,2011,1,050160620042008,050160620042008
2524126,2011,1,050160620042008,050160620042008
2522079,2011,1,050160620042008,050160620042008
3421408,2011,1,050160620042008,050160620042008
2672137,2011,1,050160620042008,050160620042008
3421658,2011,0.5,050160620042008,050160620042008
2763304,2011,1,050160620042008,050160620042008
2682132,2011,1,050160620042008,050160620042008
2989489,2011,1,050160620042008,050160620042008
3128637,2011,1,050160620042008,050160620042011
3128640,2011,1,050160620042008,050160620042011
2934924,2011,1,050160620042009,050160620042009
2862895,2011,1,050160620042009,050160620042009
3003640,2011,1,050160620042010,050160620042010
3010808,2011,1,050160620042010,050160620042010
2642063,2011,1,050160620042010,050160620042010
2623202,2011,1,050160620042010,050160620042010
3126610,2011,1,050160620042010,050160620042011
3126610,2011,1,050160620042011,050160620042011
3128640,2011,1,050160620042011,050160620042011
2552084,2011,1,050160620042011,050160620042011
1005167,2011,1,050160620042011,050160620042011
3128637,2011,1,050160620042011,050160620042011
1854056,2011,1,050160620042012,050160620042012
2773551,2011,1,050160630021003,050160630021003
1301529,2011,1,050160630021003,050160630021003
2413735,2011,1,050160630021003,050160630021003
2413754,2011,1,050160630021003,050160630021003
3044433,2011,1,050160630021003,050160630021003
2314197,2011,1,050160630021003,050160630021003
2312071,2011,1,050160630021003,050160630021003
1301528,2011,1,050160630022006,050160630022006
3133030,2011,1,050160630022006,050160630022006
2678839,2011,1,050160630022006,050160630022006
2678118,2011,1,050160630022006,050160630022006
2358597,2011,1,050160630022006,050160630022006
2773551,2011,1,050160630022006,050160630022006
3264687,2011,0.5,050160630022006,050160630022006
2851404,2011,1,050160630022006,050160630022006
2439995,2011,1,050160630022006,050160630022006
3052107,2011,1,050160630022006,050160630022006
2861553,2011,1,050160630022008,050160630022008
2418461,2011,1,050160630022008,050160630022008
3246215,2011,1,050160630022008,050160630022008
2856800,2011,1,050160630022008,050160630022008
2857602,2011,1,050160630022009,050160630022009
