school,black_students,total_students,pct_black,2010,2011,2012,2013,2014,2015,2016,2017
Williams Multiplex Elem School,248,253,0.9802371541501976,2,6,5,6,0,0,0,0
Woods Elem Math & Science Academy,356,362,0.9834254143646409,2,8,5,12,0,0,0,0
Yale Elem School,179,180,0.9944444444444445,5,10,2,8,0,0,0,0
Perspectives Charter High School,1608,1707,0.9420035149384886,31,22,26,22,12,13,19,36
North Lawndale Charter HS,766,771,0.993514915693904,2,7,7,4,1,5,5,6
Prologue - Johnston Fine Arts HS,61,61,1.0,0,0,1,1,2,0,2,0
Univ of Chicago Charter Schools,1775,1819,0.9758108851017042,7,11,10,22,13,10,18,24
LEARN Charter Schools,3051,3181,0.959132348318139,6,12,16,18,28,38,41,113
Galapagos Elem Charter School,2,2,1.0,3,6,2,5,6,1,10,1
KIPP Chicago Charter Schools,1601,1686,0.9495848161328588,0,0,0,0,3,2,24,54
