SCHOOL_ID,SCHOOL_NAME,STATUS_SY1617,GRADE_CAT_SY1617,GOVERNANCE_SY1617,NETWORK_SY1617,BOUNDARY_SY1617,TA,RA,ANR,RNA,TR,RA/TA,ANR/TA,RA/TR,RNA/TR
609764,JUAREZ HS,ACTIVE,HS,ISP,District,Attendance Area School,1607,716,891,1042,1758,0.4455507156,0.5544492844,0.4072810011,0.5927189989
609768,HOPE HS,ACTIVE,HS,Network 11,District,Attendance Area School,136,54,82,617,671,0.3970588235,0.6029411765,0.08047690015,0.9195230999
609772,ADDAMS,ACTIVE,ES,ISP,District,Attendance Area School,778,704,74,59,763,0.9048843188,0.09511568123,0.9226736566,0.07732634338
609773,AGASSIZ,ACTIVE,ES,ISP,District,Attendance Area School,506,92,414,79,171,0.1818181818,0.8181818182,0.5380116959,0.4619883041
609774,ALCOTT ES,ACTIVE,ES,Network 4,District,Attendance Area School,640,251,389,76,327,0.3921875,0.6078125,0.7675840979,0.2324159021
609777,ARMOUR,ACTIVE,ES,Network 6,District,Attendance Area School,274,215,59,217,432,0.7846715328,0.2153284672,0.4976851852,0.5023148148
609779,ARMSTRONG G,ACTIVE,ES,Network 2,District,Attendance Area School,1433,1193,240,833,2026,0.8325191905,0.1674808095,0.5888450148,0.4111549852
609782,AUDUBON,ACTIVE,ES,Network 4,District,Attendance Area School,560,432,128,116,548,0.7714285714,0.2285714286,0.7883211679,0.2116788321
609786,AVALON PARK,ACTIVE,ES,Network 12,District,Attendance Area School,298,244,54,436,680,0.8187919463,0.1812080537,0.3588235294,0.6411764706
609788,BARNARD,ACTIVE,ES,Network 10,District,Attendance Area School,321,172,149,132,304,0.5358255452,0.4641744548,0.5657894737,0.4342105263
609789,BARRY,ACTIVE,ES,Network 4,District,Attendance Area School,726,582,144,395,977,0.8016528926,0.1983471074,0.5957011259,0.4042988741
609790,BARTON,ACTIVE,ES,Network 11,District,Attendance Area School,434,328,106,374,702,0.7557603687,0.2442396313,0.4672364672,0.5327635328
609791,BASS,ACTIVE,ES,Network 11,District,Attendance Area School,449,282,167,275,557,0.6280623608,0.3719376392,0.5062836625,0.4937163375
609792,BATEMAN,ACTIVE,ES,Network 1,District,Attendance Area School,1061,738,323,436,1174,0.6955702168,0.3044297832,0.6286201022,0.3713798978
609793,NICHOLSON,ACTIVE,ES,Network 11,District,Attendance Area School,519,396,123,554,950,0.7630057803,0.2369942197,0.4168421053,0.5831578947
609795,CLARK ES,ACTIVE,ES,Network 3,District,Attendance Area School,250,212,38,62,274,0.848,0.152,0.7737226277,0.2262773723
609796,BEAUBIEN,ACTIVE,ES,Network 1,District,Attendance Area School,1101,772,329,190,962,0.7011807448,0.2988192552,0.8024948025,0.1975051975
609797,BEIDLER,ACTIVE,ES,Network 5,District,Attendance Area School,482,245,237,365,610,0.5082987552,0.4917012448,0.4016393443,0.5983606557
609798,BELDING,ACTIVE,ES,Network 1,District,Attendance Area School,559,435,124,345,780,0.7781753131,0.2218246869,0.5576923077,0.4423076923
609799,BELL,ACTIVE,ES,Network 4,District,Attendance Area School,961,711,250,87,798,0.7398543184,0.2601456816,0.8909774436,0.1090225564
609800,BENNETT,ACTIVE,ES,Network 13,District,Attendance Area School,329,242,87,279,521,0.73556231,0.26443769,0.4644913628,0.5355086372
609803,BLAINE,ACTIVE,ES,Network 4,District,Attendance Area School,884,688,196,107,795,0.778280543,0.221719457,0.865408805,0.134591195
609804,BOONE,ACTIVE,ES,Network 2,District,Attendance Area School,830,733,97,352,1085,0.8831325301,0.1168674699,0.6755760369,0.3244239631
609805,JOPLIN,ACTIVE,ES,Network 11,District,Attendance Area School,407,298,109,360,658,0.7321867322,0.2678132678,0.452887538,0.547112462
609806,BRADWELL,ACTIVE,ES,AUSL,District,Attendance Area School,624,519,105,570,1089,0.8317307692,0.1682692308,0.476584022,0.523415978
609807,HAMPTON,ACTIVE,ES,Network 10,District,Attendance Area School,563,457,106,160,617,0.811722913,0.188277087,0.7406807131,0.2593192869
609808,HALEY,ACTIVE,ES,Network 13,District,Attendance Area School,577,378,199,450,828,0.6551126516,0.3448873484,0.4565217391,0.5434782609
609809,BRENTANO,ACTIVE,ES,Network 4,District,Attendance Area School,475,254,221,395,649,0.5347368421,0.4652631579,0.3913713405,0.6086286595
609810,BRIDGE,ACTIVE,ES,Network 1,District,Attendance Area School,1105,1021,84,223,1244,0.9239819005,0.07601809955,0.8207395498,0.1792604502
609811,BRIGHT,ACTIVE,ES,Network 13,District,Attendance Area School,295,225,70,115,340,0.7627118644,0.2372881356,0.6617647059,0.3382352941
609812,BROWN W,ACTIVE,ES,Network 6,District,Attendance Area School,286,108,178,211,319,0.3776223776,0.6223776224,0.3385579937,0.6614420063
609813,BROWNELL,ACTIVE,ES,Network 12,District,Attendance Area School,211,121,90,175,296,0.5734597156,0.4265402844,0.4087837838,0.5912162162
609815,BOUCHET,ACTIVE,ES,Network 12,District,Attendance Area School,603,438,165,700,1138,0.7263681592,0.2736318408,0.3848857645,0.6151142355
609817,BUDLONG,ACTIVE,ES,Network 2,District,Attendance Area School,790,482,308,280,762,0.6101265823,0.3898734177,0.6325459318,0.3674540682
609818,BURBANK,ACTIVE,ES,Network 3,District,Attendance Area School,934,821,113,500,1321,0.8790149893,0.1209850107,0.6214988645,0.3785011355
609819,BURKE,ACTIVE,ES,Network 9,District,Attendance Area School,435,264,171,591,855,0.6068965517,0.3931034483,0.3087719298,0.6912280702
609820,BURLEY,ACTIVE,ES,ISP,District,Attendance Area School,532,346,186,88,434,0.6503759398,0.3496240602,0.797235023,0.202764977
609821,BURNHAM,ACTIVE,ES,ISP,District,Attendance Area School,528,439,89,448,887,0.8314393939,0.1685606061,0.4949267193,0.5050732807
609826,CASTELLANOS,ACTIVE,ES,Network 7,District,Attendance Area School,611,582,29,217,799,0.9525368249,0.04746317512,0.7284105131,0.2715894869
609828,BURR,ACTIVE,ES,Network 6,District,Attendance Area School,445,99,346,54,153,0.2224719101,0.7775280899,0.6470588235,0.3529411765
609829,BURROUGHS,ACTIVE,ES,Network 8,District,Attendance Area School,481,340,141,120,460,0.7068607069,0.2931392931,0.7391304348,0.2608695652
609830,BRUNSON,ACTIVE,ES,Network 3,District,Attendance Area School,539,386,153,475,861,0.7161410019,0.2838589981,0.4483159117,0.5516840883
609832,BYRNE,ACTIVE,ES,Network 10,District,Attendance Area School,654,594,60,140,734,0.9082568807,0.09174311927,0.8092643052,0.1907356948
609833,CALDWELL,ACTIVE,ES,Network 12,District,Attendance Area School,274,166,108,388,554,0.6058394161,0.3941605839,0.2996389892,0.7003610108
609834,LITTLE VILLAGE,ACTIVE,ES,Network 7,District,Attendance Area School,834,738,96,117,855,0.8848920863,0.1151079137,0.8631578947,0.1368421053
609835,CAMERON,ACTIVE,ES,Network 5,District,Attendance Area School,783,634,149,830,1464,0.809706258,0.190293742,0.4330601093,0.5669398907
609836,CANTY,ACTIVE,ES,Network 1,District,Attendance Area School,849,811,38,76,887,0.9552414605,0.04475853946,0.9143179256,0.08568207441
609837,CARNEGIE,ACTIVE,ES,ISP,District,Attendance Area School,655,230,425,172,402,0.3511450382,0.6488549618,0.5721393035,0.4278606965
