SCHOOL ID (R-C-D-T-S),"SCHOOL TYPE CODE (0,1,2,C)",SCHOOL NAME,DISTRICT NAME,CITY,COUNTY ,"DISTRICT TYPE CODE (0,1,2,9)","DISTRICT SIZE CODE (1,2,...8,9)",DISTRICT TYPE NAME,DISTRICT SIZE NAME,SCHOOL TYPE NAME,GRADES IN SCHOOL,SCHOOL - WHITE %,SCHOOL - BLACK %,SCHOOL - HISPANIC %,SCHOOL - ASIAN %,SCHOOL - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,SCHOOL - NATIVE AMERICAN %,SCHOOL - TWO OR MORE RACES %,SCHOOL TOTAL ENROLLMENT,DISTRICT - WHITE %,DISTRICT - BLACK %,DISTRICT - HISPANIC %,DISTRICT - ASIAN %,DISTRICT - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,DISTRICT - NATIVE AMERICAN %,DISTRICT - TWO OR MORE RACES %,DISTRICT TOTAL ENROLLMENT
50160590042019,2,Salt Creek Elem School           ,Comm Cons SD 59                  ,Elk Grove Village,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,34.3,0.9,58.9,2.3,0,1.4,2.1,428,39,3.6,42.6,11.4,0.2,1,2.1,"6,866"
50160590042020,2,Ridge Family Center for Learning ,Comm Cons SD 59                  ,Elk Grove Village,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,63.9,2,13.7,17.6,0,0.4,2.4,255,39,3.6,42.6,11.4,0.2,1,2.1,"6,866"
50160620041001,1,Algonquin Middle School          ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,6 7 8                          ,31.8,2.1,55.7,9.4,0.1,0.4,0.4,679,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620041003,1,Chippewa Middle School           ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,6 7 8                          ,46.2,8.2,32.3,12.2,0.3,0.1,0.7,691,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042001,2,Iroquois Community School        ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5 6 7 8              ,56.1,2.7,22.7,15.2,0,0.2,3.1,488,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042002,2,Central Elem School              ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,65.1,3,24.9,2.3,0.3,0,4.3,301,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042004,2,Cumberland Elem School           ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,50.3,3.1,29.3,13.9,1.9,0,1.5,324,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042005,2,Forest Elem School               ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,PK K 1 2 3 4 5                 ,48.5,1.5,35.4,11.1,0,0.5,2.9,584,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042008,2,North Elementary School          ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,31.7,12,40.2,14,0.6,0.2,1.3,523,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
50160620042009,2,Orchard Place Elem School        ,CCSD 62                          ,Des Plaines      ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,14.1,1.7,76.5,6.4,0,0.3,1,298,40.8,4.3,41.4,11,0.3,0.3,2,"4,693"
